task_id,platform_id,coding-game,coding-game_reason,extras,harmful_any,harmful_visual,landcover-type_text,landcover-type_visual_0,landscape-type_expl_text,landscape-type_expl_visual_0,landscape-type_other_text,landscape-type_text,landscape-type_visual_0,landscape-type_visual_1,landscape-type_visual_2,landscape-type_visual_3,language_correct,nature_any,nature_text,nature_visual_0,nature_visual_1,nature_visual_2,nature_visual_3,nature_visual_any,nep_biological_expl_text,nep_biological_expl_visual_0,nep_biological_expl_visual_1,nep_biological_expl_visual_2,nep_biological_expl_visual_3,nep_biological_text,nep_biological_visual_0,nep_biological_visual_1,nep_biological_visual_2,nep_biological_visual_3,nep_materiality_expl_text,nep_materiality_text,nep_materiality_visual_0,nep_materiality_visual_1,nep_materiality_visual_2,nep_materiality_visual_3,rel-value_text,rel-value_text_conf_aesthetics,rel-value_text_conf_cultural-identity,rel-value_text_conf_good-life,rel-value_text_conf_kinship,rel-value_text_conf_livelihoods,rel-value_text_conf_personal-identity,rel-value_text_conf_reciprocity,rel-value_text_conf_sense-of-agency,rel-value_text_conf_sense-of-place,rel-value_text_conf_social-relations,rel-value_text_conf_social-responsibility,rel-value_text_conf_spirituality,rel-value_text_conf_stewardship-principle,rel-value_text_conf_well-being,rel-value_text_expl,rel-value_visual_0,rel-value_visual_0_conf_aesthetics,rel-value_visual_0_conf_cultural-identity,rel-value_visual_0_conf_good-life,rel-value_visual_0_conf_reciprocity,rel-value_visual_0_conf_sense-of-agency,rel-value_visual_0_conf_social-cohesion,rel-value_visual_0_conf_social-relations,rel-value_visual_0_conf_spirituality,rel-value_visual_0_conf_stewardship-principle,rel-value_visual_0_conf_well-being,rel-value_visual_1,rel-value_visual_1_conf_social-relations,rel-value_visual_2,rel-value_visual_3,rel-value_visual_3_conf_spirituality,val-expr_text,val-expr_visual_0,val-expr_visual_1,val-expr_visual_2,val-expr_visual_3,visual_same_0,visual_same_1,visual_same_2,visual_same_3,timestamps,user_ids
33004,1628108290776236068,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:54:45.485142+00:00;2025-04-24 20:54:44.206299+00:00;2025-04-17 10:21:45.804530+00:00,7;10;42
33005,1637620972248260614,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-25 00:19:01.386891+00:00;2025-04-19 14:26:17.897851+00:00;2025-04-19 14:55:29.571147+00:00,10;17;42
33006,1645955893157036033,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;No,No;No,No;No,No;No,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 09:27:10.234324+00:00;2025-04-17 10:23:06.057501+00:00,7;42
33007,1651935292926971906,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-24 20:55:46.492054+00:00;2025-04-21 07:21:49.368522+00:00;2025-04-19 15:30:27.412820+00:00,10;16;42
33008,1511645890439786498,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:41:54.741269+00:00;2025-04-24 20:55:32.944108+00:00;2025-04-17 11:54:30.275364+00:00,7;10;17
33009,1713903603398688778,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 13:53:52.831392+00:00;2025-04-24 20:56:06.732928+00:00;2025-04-19 12:47:26.940407+00:00,7;10;17
33010,1498358335485222915,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:55:22.036498+00:00;2025-04-24 20:56:22.583165+00:00;2025-04-19 13:31:09.057411+00:00,7;10;17
33011,1494281471997186053,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:48:14.087677+00:00;2025-04-24 20:56:33.673071+00:00;2025-04-17 11:53:26.716113+00:00,7;10;17
33012,1492922517484453889,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 10:48:29.929866+00:00;2025-04-24 21:16:42.182824+00:00;2025-04-19 14:07:54.750408+00:00,7;10;17
33013,1479483967338254336,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;No,No;No,No;No,No;No,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-21 07:30:29.441948+00:00;2025-04-19 15:34:08.549333+00:00,16;42
33014,1645049923547676672,,,,,,mountain,,,,,none;forest_and_seminatural_areas;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,No;No;No,No;No;No,,,,,,biotic;biotic;biotic,,,,,,material;material;material,,,,,spirituality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Implicit;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 16:00:39.765458+00:00;2025-04-25 01:15:13.316505+00:00;2025-04-16 16:47:44.913410+00:00,7;10;42
33015,1478879987507867650,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 08:58:49.583016+00:00;2025-04-24 21:17:48.793393+00:00;2025-04-19 13:33:04.227368+00:00,7;10;17
33016,1485674759996293127,,,"Food,Health;Food",,,,,,,,none;none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,No;No;No,No;No;No,,,,,,biotic;abiotic;biotic,,,,,,material;immaterial;material,,,,,well-being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implicit;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 14:02:22.834252+00:00;2025-04-25 00:57:01.565447+00:00;2025-04-18 10:51:00.553252+00:00,7;10;16
33017,1621585309304487938,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:57:36.490322+00:00;2025-04-24 20:57:04.187348+00:00;2025-04-17 10:26:12.476176+00:00,7;10;42
33018,1624031427422560260,,,,,,,,,,,none;none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,No;No;No,No;No;No,saying,,,,,biotic;biotic;biotic,,,,,,material;material;immaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-24 20:56:54.959662+00:00;2025-04-21 08:13:53.992450+00:00;2025-04-19 15:42:33.303901+00:00,10;16;42
33019,1641516641836998669,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 14:05:52.859800+00:00;2025-04-24 20:57:32.232856+00:00;2025-04-19 12:44:18.680863+00:00,7;10;17
33020,1702126003332534405,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 14:11:42.004697+00:00;2025-04-25 00:39:05.432828+00:00;2025-04-19 13:11:35.715164+00:00,7;10;17
33021,1691526167348613122,Yes,,Health;Health,,,,,,,,none;none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,No;No;No,No;No;No,,,,,,biotic;abiotic;biotic,,,,,,material;immaterial;material,material,,,,"stewardship-principle,well-being;social-responsibility;well-being",,,,,,,,,,,well-being,,,,,,,,,,,,,,,,,,,,,Explicit;Implicit;Explicit,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:31:18.631216+00:00;2025-04-24 21:26:35.907063+00:00;2025-04-18 10:48:53.741332+00:00,7;10;16
33022,1490959583179046918,,,Health,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;No;No,Yes;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,biotic,,,,,,material,,,,,well-being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explicit;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 08:34:46.304544+00:00;2025-04-25 00:40:00.025170+00:00;2025-04-17 10:24:56.709829+00:00,7;10;42
33023,1627927096700948485,,,Health,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;No;No,Yes;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,biotic,,,,,,material,,,,,well-being,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implicit;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:41:26.272745+00:00;2025-04-24 21:40:05.138889+00:00;2025-04-19 12:46:59.296734+00:00,7;10;17
33024,1612525612479963160,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 09:25:16.353555+00:00;2025-04-24 20:57:16.878743+00:00;2025-04-17 18:44:10.628820+00:00,7;10;42
33025,1645321714132197376,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:47:02.298425+00:00;2025-04-25 00:41:25.197984+00:00;2025-04-16 16:45:29.475010+00:00,7;10;42
33026,1649398577947373571,,,Food,text,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Yes;No,Yes;No,No;No,No;No,No;No,No;No,No;No,,,,,,biotic,,,,,,material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 10:19:38.257511+00:00;2025-04-17 17:43:08.716530+00:00,7;42
33027,1612072627757092864,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:21:55.995656+00:00;2025-04-24 21:18:16.039794+00:00;2025-04-17 10:18:56.654808+00:00,7;10;42
33028,1490657592762318852,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-25 00:42:31.453950+00:00;2025-04-21 08:14:00.934297+00:00;2025-04-19 15:01:26.690865+00:00,10;16;42
33029,1510437930975776773,,,,,,,,,,,none;none,none;none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;Yes;No,No;No;No,No;Yes;No,No;No;No,No;No;No,No;No;No,No;Yes;No,,,,,,,biotic,,,,,,immaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 10:27:21.790801+00:00;2025-04-25 00:43:22.426822+00:00;2025-04-16 16:47:16.170994+00:00,7;10;42
33030,1622672472909783055,,,Health;Health,,,,,,beach,,none,water_bodies;forest_and_seminatural_areas,none,,,Yes;Yes,Yes;Yes,Yes;No,Yes;Yes,Yes;No,No;No,No;No,Yes;Yes,,,,,,biotic,abiotic;abiotic,abiotic,,,,material,material;material,material,,,social-responsibility,,,,,,,,,,,stewardship-principle,,,,,stewardship-principle,,,,,,,,,sense-of-agency,,social-relations,social-responsibility,,,,Implicit,Implicit;Not codable,Implicit,,,,,,,2025-04-17 16:17:49.574974+00:00;2025-04-18 09:23:18.005119+00:00,10;16
33031,1646408877431300096,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;No,No;No,No;No,No;No,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-21 07:20:13.174853+00:00;2025-04-19 15:42:57.930040+00:00,16;42
33032,1492016547828842503,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 15:07:03.229966+00:00;2025-04-24 21:18:36.969111+00:00;2025-04-16 16:59:50.975014+00:00,7;10;42
33033,1636443211689279503,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;No,No;No,No;No,No;No,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-19 14:19:07.546323+00:00;2025-04-19 14:48:02.466069+00:00,17;42
33034,1480238941815009280,,,Health,,,,,,,,none;none;none,none;none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,No;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,Yes;Yes;Yes,weather,fire,,,,abiotic;abiotic,abiotic;abiotic;abiotic,,,,,material;material,immaterial;immaterial;immaterial,,,,"cultural-identity,social-cohesion",,social-relations,,,,,,,,,,,,,,well-being,,,,,,,,,,,,,,,,Not codable;Implicit;Not codable,Implicit;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 10:30:34.284511+00:00;2025-04-24 20:59:41.846223+00:00;2025-04-16 13:19:40.425179+00:00,7;10;42
33035,1517534693276753920,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;No,No;No,No;No,No;No,No;No,No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:51:00.558944+00:00;2025-04-17 09:48:53.233329+00:00,7;42
33036,1634450078516617216,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,No;No;No,No;No,No;No;No,No;No;No,No;No;No,No;No;No,No;No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 13:57:51.375515+00:00;2025-04-24 21:16:28.139113+00:00;2025-04-17 18:43:59.365443+00:00,7;10;42
33037,1733834950271484160,,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,No;Yes,No;No,No;Yes,No;No,No;No,No;No,No;Yes,,wood wall,,,,,biotic,,,,,,material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-16 09:25:41.881646+00:00;2025-04-16 12:03:27.299372+00:00,7;42
33038,1623578442196217856,,,Food,,,,,,,,none;none;none,none;none,none;none,none;none,none;none,Yes;Yes;Yes,Yes;Yes;Yes,Yes;Yes;Yes,No;No;No,No;No;No,No;No;No,No;No;No,No;No;No,,,,,,biotic;biotic;biotic,,,,,,material;material;material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not codable;Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,Not codable;Not codable,,,,,2025-04-17 07:44:28.629206+00:00;2025-04-25 00:18:48.180982+00:00;2025-04-17 12:05:28.882864+00:00,7;10;17
