image_name,nature_visual,nep_materiality_visual,nep_biological_visual,landscape-type_visual,platform_id,index
1676532369086623746_0,Yes,immaterial,abiotic,none,1676532369086623746,0
1677785627461316610_1,Yes,material,abiotic,artificial_surfaces,1677785627461316610,1
1678344308779302912_1,Yes,material,biotic,none,1678344308779302912,1
1678812393072394240_0,Yes,immaterial,biotic,none,1678812393072394240,0
1679053984991174656_0,Yes,material,biotic,none,1679053984991174656,0
1679129482290921475_0,Yes,immaterial,biotic,none,1679129482290921475,0
1679250278338396161_0,Yes,material,biotic,none,1679250278338396161,0
1679552268272541701_0,Yes,immaterial,biotic,none,1679552268272541701,0
1679703263216799744_0,Yes,immaterial,biotic,none,1679703263216799744,0
1680307243047088131_1,Yes,immaterial,biotic,none,1680307243047088131,1
1680911222688940032_0,Yes,immaterial,biotic,artificial_surfaces,1680911222688940032,0
1681364207646670864_0,Yes,material,biotic,none,1681364207646670864,0
1682753361064480770_0,Yes,immaterial,biotic,none,1682753361064480770,0
1683659330594258946_0,Yes,immaterial,biotic,none,1683659330594258946,0
1696614696952992107_0,Yes,material,biotic,artificial_surfaces,1696614696952992107,0
1702352504875258132_0,Yes,immaterial,biotic,none,1702352504875258132,0
1703409469345169882_1,Yes,immaterial,biotic,none,1703409469345169882,1
1703409469345169882_2,Yes,immaterial,biotic,none,1703409469345169882,2
1703409469345169882_3,Yes,immaterial,biotic,none,1703409469345169882,3
1703862454143304161_0,Yes,material,biotic,artificial_surfaces,1703862454143304161,0
1703862454143304161_1,Yes,material,biotic,artificial_surfaces,1703862454143304161,1
1703862454143304161_2,Yes,material,biotic,artificial_surfaces,1703862454143304161,2
1703862454143304161_3,Yes,material,biotic,artificial_surfaces,1703862454143304161,3
1704768423925068239_0,Yes,immaterial,biotic,none,1704768423925068239,0
1724261871191302380_0,Yes,immaterial,biotic,none,1724261871191302380,0
1733351766832672854_0,Yes,material,biotic,none,1733351766832672854,0
1736175372205449693_0,Yes,immaterial,biotic,none,1736175372205449693,0
1737096441347092709_0,Yes,material,biotic,artificial_surfaces,1737096441347092709,0
1738440296474546640_0,Yes,immaterial,biotic,none,1738440296474546640,0
1738606390774521983_3,Yes,material,biotic,artificial_surfaces,1738606390774521983,3
1738914923932180710_0,Yes,material,biotic,artificial_surfaces,1738914923932180710,0
1738914923932180710_1,Yes,material,biotic,artificial_surfaces,1738914923932180710,1
1739059375665185123_0,Yes,material,biotic,artificial_surfaces,1739059375665185123,0
1739195270896718169_0,Yes,immaterial,biotic,none,1739195270896718169,0
1740101240481046797_0,Yes,material,biotic,none,1740101240481046797,0
1741028853001453718_0,Yes,immaterial,biotic,none,1741028853001453718,0
