task_id,platform_id,coding-game_reason,coding_game,extras,harmful_any,harmful_visual,landcover-type_text,landcover-type_visual_0,landscape-type_expl_visual_0,landscape-type_expl_visual_3,landscape-type_other_text,landscape-type_other_visual_0,landscape-type_text,landscape-type_visual_0,landscape-type_visual_1,landscape-type_visual_2,landscape-type_visual_3,language_correct,media_relevant,nature_any,nature_text,nature_visual,nep_biological_expl_text,nep_biological_expl_visual_0,nep_biological_expl_visual_1,nep_biological_text,nep_biological_visual_0,nep_biological_visual_1,nep_biological_visual_2,nep_biological_visual_3,nep_materiality_expl_text,nep_materiality_expl_visual_0,nep_materiality_text,nep_materiality_visual_0,nep_materiality_visual_1,nep_materiality_visual_2,nep_materiality_visual_3,timestamps,user_ids
9348,1673089684480708610,,No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,Yes;Yes,Yes;No,No;Yes,,,,abiotic,abiotic,,,,,,material,immaterial,,,,2025-03-27 12:10:45.421685+00:00;2025-03-31 08:40:39.359836+00:00,7;31
9349,1673210480494796801,,No;No,Sport;Sport,,,,,,,,,none;none,"none,forest_and_seminatural_areas;artificial_surfaces","none,forest_and_seminatural_areas;none","none,forest_and_seminatural_areas;none","none,forest_and_seminatural_areas;none",Yes;Yes,"Image 1,Image 2,Image 3,Image 4;Image 1",Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,,,,,,,material;material,,,,2025-03-31 08:50:07.868157+00:00;2025-03-31 08:47:44.919743+00:00,7;17
9350,1673376575079825414,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:48:20.555652+00:00;2025-03-31 08:49:02.374490+00:00,17;30
9351,1498056345580417025,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,Yes;No,No;No,Yes;No,,,,,biotic,,,,,,,immaterial,,,,2025-03-31 08:49:30.877640+00:00;2025-03-31 08:50:50.840594+00:00,17;30
9352,1673512470525403137,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:50:41.381445+00:00;2025-03-31 08:49:40.508753+00:00,7;17
9353,1673708763893858306,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:49:55.760877+00:00;2025-03-31 08:51:00.413066+00:00,17;30
9354,1673844659431305216,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:50:31.383210+00:00;2025-03-31 08:50:16.250225+00:00,7;17
9355,1673965455323828224,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:50:25.590316+00:00;2025-03-31 08:51:05.485836+00:00,17;30
9356,1674131549770641409,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:50:30.936425+00:00;2025-03-31 08:50:55.505413+00:00,17;30
9357,1674267445165686784,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;Yes,No;Yes,No;No,,,,biotic,,,,,,,immaterial,,,,,2025-03-31 08:51:31.222956+00:00;2025-03-31 08:51:13.546865+00:00,7;17
9358,1674418440172625920,,No;No,Health,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,,,,,,,immaterial;immaterial,,,,2025-03-31 08:51:39.256804+00:00;2025-03-31 08:52:40.622106+00:00,17;31
9359,1674569435149922304,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,No;Yes,No;No,No;Yes,,,,,biotic,,,,,,,material,,,,2025-03-31 08:51:50.572344+00:00;2025-03-31 08:53:39.119611+00:00,17;28
9360,1674720430098206720,,No;No,,,,,mountain,,,,,none;none,"none,forest_and_seminatural_areas,water_bodies;none,forest_and_seminatural_areas",none;none,none;none,none;none,Yes;No,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,biotic,,,,,,,material;material,,,,2025-03-31 08:55:24.910407+00:00;2025-03-31 08:54:01.952372+00:00,7;17
9361,1674871425067278340,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:54:11.320370+00:00;2025-03-31 08:54:16.796003+00:00,17;30
9362,1498207340524363779,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:54:26.385603+00:00;2025-03-31 08:54:49.406850+00:00,17;30
9363,1675022420007329793,,No;No,Food;Food,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,biotic;biotic,biotic;biotic,,,,,,material;material,material;material,,,,2025-03-31 08:55:23.462214+00:00;2025-03-31 08:55:53.841295+00:00,17;28
9364,1675173414942670848,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,"Image 1,Image 2;Image 1,Image 2",Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,biotic;biotic,,,,,,material;material,material;material,,,2025-03-31 08:55:52.442201+00:00;2025-03-31 08:56:41.358238+00:00,17;28
9365,1675324409689804800,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,abiotic;biotic,,,,,,,immaterial;material,,,,2025-03-31 08:57:09.156746+00:00;2025-03-31 08:56:17.194546+00:00,7;17
9366,1675505603727302658,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:56:26.076994+00:00;2025-03-31 08:57:15.356765+00:00,17;28
9367,1675792493538062338,,No;No,Video game,,,,,,,,,none;none,"artificial_surfaces,water_bodies;artificial_surfaces","artificial_surfaces,water_bodies;artificial_surfaces","artificial_surfaces,water_bodies;none",none;none,Yes;Yes,"Image 1,Image 2,Image 3;Image 1,Image 2",Yes;Yes,No;No,Yes;Yes,,,,,abiotic;biotic,abiotic;biotic,biotic,,,,,immaterial;immaterial,immaterial;immaterial,immaterial,,2025-03-31 09:05:09.771039+00:00;2025-03-31 08:57:55.571738+00:00,15;17
9368,1675973687999176706,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:58:07.791305+00:00;2025-03-31 08:59:13.900560+00:00,17;28
9369,1676094484092792833,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:00:06.005203+00:00;2025-03-31 08:58:16.414218+00:00,7;17
9370,1676230379525611522,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:59:51.707640+00:00;2025-03-31 08:58:27.419325+00:00,7;17
9371,1676381374419435520,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,Yes;Yes,Yes;Yes,No;No,,,,biotic;biotic,,,,,,,immaterial;immaterial,,,,,2025-03-31 08:59:40.091596+00:00;2025-03-31 08:58:47.554828+00:00,7;17
9372,1676532369086623746,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,abiotic;abiotic,abiotic;abiotic,,,,,,material;immaterial,immaterial;immaterial,,,,2025-03-31 09:02:22.729857+00:00;2025-03-31 09:01:12.024632+00:00,7;17
9373,1498358335405318147,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 09:57:46.242819+00:00;2025-04-01 08:33:39.761053+00:00,1;42
9374,1676683364298903559,Will text refering to nature always be immaterial?,No;Yes,Food;Food,,,,,,,,,none;none,none;none,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,biotic;biotic,biotic;biotic,,,,,,material;immaterial,material;immaterial,,,,2025-03-31 09:19:44.473302+00:00;2025-03-31 09:18:45.739173+00:00,7;17
9375,1676834359012126721,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:27:13.481253+00:00;2025-03-31 09:18:58.724703+00:00,16;17
9376,1676985354279342081,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:19:13.351710+00:00;2025-03-31 10:15:04.593681+00:00,17;42
9377,1677302443657379843,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:19:22.136197+00:00;2025-03-31 10:04:51.637189+00:00,17;30
9378,1677453438509096960,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:19:29.573282+00:00;2025-03-31 09:53:28.453314+00:00,17;30
9379,1677589334025748480,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:19:38.394588+00:00;2025-03-31 09:26:53.527934+00:00,17;31
9380,1677785627461316610,,No;No,,,,,,,,,,artificial_surfaces,artificial_surfaces;none,artificial_surfaces,,,Yes;Yes,"Image 1,Image 2;Image 1,Image 2",Yes;Yes,Yes;Yes,Yes;Yes,storms,,,abiotic;abiotic,abiotic;abiotic,abiotic,,,ai artwork,,material;immaterial,material;immaterial,material,,,2025-03-31 09:20:38.431533+00:00;2025-03-31 09:28:13.185161+00:00,17;30
9381,1677891323821723648,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:20:57.597801+00:00;2025-03-31 09:28:20.622764+00:00,17;30
9382,1678344308779302912,"Unsure if only a few trees in the back, not being the main element in the photo, could be considered for coding.",No;Yes,,,,,,,,,,none,none,none;none,none,none,Yes;Yes,Image 2;Image 2,Yes;Yes,No;No,Yes;Yes,,,just trees on the back,,,biotic;biotic,,,,,,,material;material,,,2025-03-31 09:22:01.318559+00:00;2025-03-31 10:14:25.399156+00:00,17;42
9383,1678646298621116416,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:22:07.733656+00:00;2025-03-31 09:50:58.214020+00:00,17;30
9384,1498584827896893440,,No;No,,,,,,,,,,none,forest_and_seminatural_areas;none,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,,,,,,,material;material,,,,2025-03-31 09:22:41.506881+00:00;2025-03-31 10:12:17.266609+00:00,17;42
9385,1678812393072394240,,No;No,,,,,,,,,,,none,,,,Yes;Yes,Image 1,Yes;No,No;No,Yes;No,,,,,biotic,,,,,,,immaterial,,,,2025-03-31 09:23:17.345353+00:00;2025-03-31 09:49:22.921285+00:00,17;30
9386,1679053984991174656,,No;No,Food;Food,,,,,,,,,none;none,none;none,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;No,Yes;Yes,,food,,biotic,biotic;biotic,,,,,,material,material;material,,,,2025-03-31 09:23:56.383474+00:00;2025-03-31 10:10:33.497704+00:00,17;42
9387,1679129482290921475,,No;No,Food;Food,,,,,,,,,none;none,none;none,,,,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,animated apple ,,,biotic;biotic,biotic,,,,,,immaterial;immaterial,immaterial;immaterial,,,,2025-03-31 09:24:23.077827+00:00;2025-03-31 09:57:29.644809+00:00,17;30
9388,1679250278338396161,,No;No,Food;Food,text,,,,,,,,none,none;none,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,food,,,biotic;biotic,,,,,,,material;material,,,,2025-03-31 09:24:49.925932+00:00;2025-03-31 10:09:46.135134+00:00,17;42
9389,1679401273202823170,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:24:55.904705+00:00;2025-03-31 10:04:23.297046+00:00,17;30
9390,1679552268272541701,,No;No;No,Video game,,,,,,,,,none,none;none,none,none,none,Yes;Yes;Yes,Image 1;Image 1,Yes;No;Yes,No;No;No,Yes;No;Yes,,,,,biotic;biotic,,,,,,,immaterial;immaterial,,,,2025-03-31 09:25:21.477995+00:00;2025-03-31 10:05:34.198420+00:00;2025-03-31 10:07:49.916699+00:00,17;30;42
9391,1679703263216799744,,No;No,,,,,,,,,,none;none,none;none,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,flowers,flowers,,biotic;biotic,biotic;biotic,,,,,,immaterial;immaterial,immaterial;immaterial,,,,2025-03-31 09:25:44.424141+00:00;2025-03-31 10:01:04.492462+00:00,17;42
9392,1679854258215178240,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:25:50.814342+00:00;2025-03-31 09:50:30.701982+00:00,17;30
9393,1680005253134008320,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:03:55.320976+00:00;2025-03-31 09:03:38.115919+00:00,7;30
9394,1680307243047088131,,No;No,,,,,,,,,,,,none,,,Yes;Yes,Image 2,Yes;No,No;No,Yes;No,,,,,,biotic,,,,,,,immaterial,,,2025-03-31 09:26:14.896069+00:00;2025-03-31 09:51:24.508486+00:00,17;30
9395,1498962315072335876,,No;No,,,,,,,,,,none,none,none,none,none,Yes;No,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:56:53.644569+00:00;2025-03-31 09:57:08.819656+00:00,17;42
9396,1680503536478560257,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:26:35.200155+00:00;2025-03-31 09:53:40.942756+00:00,17;42
9397,1680624332350033921,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:26:47.531225+00:00;2025-03-31 09:49:42.442352+00:00,17;30
9398,1680775327197564928,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:26:56.014185+00:00;2025-03-31 09:19:18.766077+00:00,17;31
9399,1680911222688940032,,No;No,Video game,,,,,,,,,forest_and_seminatural_areas,artificial_surfaces,,,,Yes;Yes,Image 1,Yes;No,Yes;No,Yes;No,,,,biotic,biotic,,,,,,immaterial,immaterial,,,,2025-03-31 09:28:58.470933+00:00;2025-03-31 10:03:34.307911+00:00,17;30
9400,1681077317257543680,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:29:08.766451+00:00;2025-03-31 10:04:37.212146+00:00,17;30
9401,1681228312020910080,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:29:17.773938+00:00;2025-03-31 10:10:29.752296+00:00,17;30
9402,1681364207646670864,,No;No,,,,,,,,,,none,none,,,,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,biotic;biotic,biotic;biotic,,,,,,material;material,material;material,,,,2025-03-31 16:43:20.221823+00:00;2025-03-31 09:30:16.636319+00:00,7;17
9403,1681515202527854593,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:31:19.371184+00:00;2025-03-31 09:50:43.418382+00:00,17;30
9407,1682119182341554177,,No;No,,,,,,,,,,none;none,"forest_and_seminatural_areas;none,forest_and_seminatural_areas",none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;No,Yes;Yes,,,,biotic,biotic;biotic,,,,,,material,material;material,,,,2025-03-31 09:08:15.184092+00:00;2025-03-31 09:09:17.148349+00:00,7;31
9408,1682285276524347392,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:07:56.589615+00:00;2025-03-31 09:08:06.067491+00:00,28;30
9409,1682421172107968513,,No;No,,,,,,,,,,none,none;artificial_surfaces,none,none,none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,,,,,,,immaterial;material,,,,2025-03-31 09:17:26.717481+00:00;2025-03-31 09:16:02.628465+00:00,7;31
9411,1682753361064480770,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1,Yes;No,No;No,Yes;No,,,,,biotic,,,,,,,immaterial,,,,2025-03-31 08:53:25.987583+00:00;2025-03-31 08:53:47.600056+00:00,15;31
9412,1682874157065969664,,No;No,,,,,,,,,,,,,,,Yes;Yes,,Yes;No,Yes;No,No;No,,,,abiotic,,,,,,,,,,,,2025-04-01 14:50:38.558382+00:00;2025-04-01 13:59:53.690608+00:00,7;42
9413,1683025151733166080,,No;No,,,,,,,,,,,"artificial_surfaces;artificial_surfaces,water_bodies","artificial_surfaces;artificial_surfaces,water_bodies",,,Yes;Yes,"Image 1,Image 2;Image 1,Image 2",Yes;Yes,No;No,Yes;Yes,,,,,biotic;abiotic,biotic;abiotic,,,,,,material;material,material;material,,,2025-03-31 20:55:08.366464+00:00;2025-04-01 08:35:20.016463+00:00,31;42
9416,1683659330594258946,,No;No,,,,,,,,,,none,none;none,none,none,none,Yes;Yes,Image 1,No;Yes,No;No,No;Yes,,,,,biotic,,,,,,,immaterial,,,,2025-03-31 09:06:37.527834+00:00;2025-03-31 09:06:25.323479+00:00,7;28
9424,1684686096389599233,,No;Yes,,,,,,,,,,,none,none,none,,Yes;Yes,"Image 1,Image 2,Image 3",Yes;No,No;No,Yes;No,,,,,abiotic,abiotic,abiotic,,,,,immaterial,immaterial,immaterial,,2025-04-01 14:21:56.402632+00:00;2025-04-01 07:57:17.127759+00:00,7;42
9434,1686060150312910848,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:38:54.862556+00:00;2025-03-31 20:50:46.048406+00:00,7;31
9435,1686362140284776448,,No;No,,,,,,,,,,,,,,,Yes;Yes,,Yes;No,Yes;No,No;No,,,,abiotic,,,,,,,material,,,,,2025-03-31 17:40:28.627901+00:00;2025-03-31 20:50:08.275368+00:00,7;31
9439,1499717289935278082,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:00:20.952271+00:00;2025-03-31 09:00:52.082184+00:00,28;31
9440,1686951020583112704,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:06:15.857235+00:00;2025-03-31 09:05:58.891844+00:00,17;30
9441,1687404005419569152,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 14:24:10.304112+00:00;2025-04-01 13:12:33.201115+00:00,7;42
9445,1688038183928209408,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 14:24:19.748750+00:00;2025-04-01 13:00:33.442959+00:00,7;42
9450,1479559464743284740,,No;No,,,,,,,,,,none,none,none,none,none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 09:18:43.850528+00:00;2025-03-31 09:15:33.169362+00:00,7;30
9451,1499943782325833730,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:46:52.403495+00:00;2025-03-31 08:34:12.064994+00:00,30;31
9456,1689668929512263680,,No;No,,text,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,biotic;biotic,,,,,,,immaterial;immaterial,,,,,2025-03-31 08:57:21.842434+00:00;2025-03-31 08:55:27.376008+00:00,30;31
9457,1689819924410077184,,No;No,,,,,,,,,,none,artificial_surfaces;artificial_surfaces,,,,Yes;Yes,Image 1;Image 1,Yes;Yes,Yes;Yes,Yes;Yes,,,,abiotic;abiotic,abiotic;biotic,,,,,,material;material,material;material,,,,2025-03-31 17:47:15.535152+00:00;2025-03-31 20:49:39.353222+00:00,7;31
9458,1689970919303745536,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:16:22.608761+00:00;2025-03-31 16:47:45.324787+00:00,7;17
9462,1500019279860846592,,No;No,,,,,,,,,,none;none,none;none,none;none,none;none,none;none,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 08:46:19.551126+00:00;2025-03-31 08:40:59.977034+00:00,28;31
9463,1690876888988766208,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:38:49.398145+00:00;2025-03-31 20:50:19.206046+00:00,7;31
9474,1692537833171669076,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:47:28.319518+00:00;2025-03-31 20:56:41.816511+00:00,7;31
9484,1500321269803524097,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 09:57:52.737067+00:00;2025-04-01 08:34:10.076819+00:00,1;42
9485,1694576265020207232,mentioning energy sources is enough to label as nature-related?,No;Yes,,,,,,,,,,,,,,,Yes;Yes,,No;Yes,No;Yes,No;No,solar power,,,abiotic,,,,,,,immaterial,,,,,2025-04-01 14:30:20.507619+00:00;2025-04-01 08:06:10.242162+00:00,7;42
9487,1694817857001886171,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:06:17.816315+00:00;2025-03-31 16:54:47.039210+00:00,7;17
9493,1695874821685436690,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:16:49.342855+00:00;2025-04-01 08:36:08.767128+00:00,7;42
9494,1696025816516407688,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 17:12:30.797214+00:00;2025-03-31 16:50:18.237129+00:00,7;17
9496,1696161712099999931,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-03-31 16:44:53.535577+00:00;2025-03-31 09:26:33.564407+00:00,7;16
9498,1696614696952992107,,No;No,Sport;Sport,,,,,,,,,none;none,artificial_surfaces;artificial_surfaces,none;none,none;none,none;none,Yes;Yes,Image 1;Image 1,Yes;Yes,No;No,Yes;Yes,,,,,biotic;biotic,,,,,,,material;material,,,,2025-03-31 08:53:21.190763+00:00;2025-03-31 08:54:05.655280+00:00,7;15
9499,1696780791353602079,,No;No,,,,,,,,,,,,,,,Yes;Yes,,No;No,No;No,No;No,,,,,,,,,,,,,,,,2025-04-01 14:48:22.353369+00:00;2025-04-01 13:54:59.729715+00:00,7;42
